ID_id,ID_tdate,ID_bdate,ID_sex,Task_onset,Task_offset,Task_model_type,Task_correct_final_ci,Construct_Action_onset,Construct_Action_offset,Construct_Action_action_cd,Construct_Action_target_rgbls,Construct_Action_verticality_ab,Construct_Action_orientation_longblock_hv,Construct_Action_relation1_color_rgbls,Construct_Action_relation1_orientation_hv,Construct_Action_relation1_frontback_offset,Construct_Action_relation1_leftright_offset,Construct_Action_relation2_color_rgbls,Construct_Action_relation2_orientation_hv,Construct_Action_relation2_frontback_offset,Construct_Action_relation2_leftright_offset,Construct_Action_relation3_color_rgbls,Construct_Action_relation3_orientation_hv,Construct_Action_relation3_frontback_offset,Construct_Action_relation3_leftright_offset,Construct_Action_relation4_color_rgbls,Construct_Action_relation4_orientation_hv,Construct_Action_relation4_frontback_offset,Construct_Action_relation4_leftright_offset,Construct_Action_relation5_color_rgbls,Construct_Action_relation5_orientation_hv,Construct_Action_relation5_frontback_offset,Construct_Action_relation5_leftright_offset,Construct_Action_relation6_color_rgbls,Construct_Action_relation6_orientation_hv,Construct_Action_relation6_frontback_offset,Construct_Action_relation6_leftright_offset,Perspective_Orienting_onset,Perspective_Orienting_offset,Perspective_Orienting_direction_lr
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,242726,242726,c,bl,a,h,gs,.,-1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,250512,250512,c,bs,b,.,bl,v,1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,289612,289612,c,yl,a,v,bl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,318716,318716,d,yl,a,h,bl,v,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,319872,319872,f,bs,b,.,bl,h,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,319906,319906,f,gs,b,.,bl,h,-1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,322898,322898,c,bs,a,.,gl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,331194,331194,c,yl,a,h,bs,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,333472,333472,c,gs,a,.,yl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,389640,389640,d,yl,a,v,bs,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,389674,389674,d,gs,a,.,yl,v,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,391204,391204,d,bs,a,.,gl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,410414,410414,c,ys,b,.,bl,h,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,410448,410448,c,gs,b,.,bl,h,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,420648,420648,c,yl,a,v,bl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,422416,422416,c,gl,a,h,yl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,454886,454886,d,gl,a,h,yl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,462026,462026,c,bs,a,.,gl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,470390,470390,c,yl,a,h,bs,.,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,476544,476544,c,gs,a,.,yl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,510714,510714,d,yl,a,v,bs,.,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,510748,510748,d,gs,a,.,yl,v,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,514216,514216,d,bs,a,.,gl,v,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,563584,563584,c,bl,a,v,ys,.,-1,-1,bs,.,-1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,568208,568208,c,yl,a,h,bl,v,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,568242,568242,c,gs,a,.,yl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,571744,571744,d,yl,a,h,bl,v,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,571778,571778,d,gs,a,.,yl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,575008,575008,c,yl,a,h,bl,v,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,575042,575042,c,gs,a,.,yl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,591498,591498,d,yl,a,h,bl,v,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,591532,591532,d,gs,a,.,yl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,593504,593504,c,yl,a,h,bl,v,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,593538,593538,c,gs,a,.,yl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,617984,617984,d,gs,a,.,yl,v,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,620942,620942,c,gl,a,v,yl,v,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,623696,623696,d,bs,b,.,bl,v,1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,626382,626382,d,ys,b,.,bl,h,1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,630292,630292,c,ys,b,.,bl,v,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,633556,633556,c,gs,b,.,bl,v,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,642634,642634,d,ys,b,.,bl,h,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,642668,642668,d,gs,b,.,bl,h,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,646714,646714,c,ys,b,.,bl,h,1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,649332,649332,c,gs,b,.,bl,h,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,674152,674152,c,bs,b,.,bl,v,1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,680680,680680,d,gl,a,h,yl,h,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,682108,682108,c,gl,a,v,yl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,686528,686528,d,gl,a,v,yl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,687174,687174,c,gl,a,v,yl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,709500,709500,d,gs,b,.,bl,h,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,710985,710985,c,gs,b,.,bl,h,1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,713966,713966,d,gl,a,h,yl,v,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,716414,716414,c,gl,a,v,yl,v,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,740588,740588,d,gl,a,v,yl,v,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,741370,741370,c,gl,a,v,yl,v,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,755378,755378,d,gs,b,.,bl,v,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,757316,757316,d,gl,a,h,yl,h,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,762518,762518,c,gl,b,h,bl,v,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,764966,764966,c,gs,a,.,yl,v,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",242726,242726,.
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",249118,249118,a
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",250886,250886,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",256530,256530,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",260576,260576,a
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",272170,272170,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",284750,284750,a
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",303110,303110,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",319056,319056,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",322898,322898,.
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",339592,339592,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",343638,343638,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",366792,366792,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",380426,380426,a
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",382058,382058,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",390388,390388,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",410414,410414,.
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",421464,421464,a
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",422552,422552,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",423742,423742,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",424966,424966,a
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",432922,432922,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",462026,462026,.
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",478652,478652,a
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",479230,479230,a
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",493068,493068,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",563584,563584,.
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",575858,575858,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",578340,578340,a
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",579904,579904,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",581060,581060,a
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",582216,582216,a
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",583134,583134,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",595476,595476,a
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",622880,622880,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",624376,624376,a
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",629952,629952,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",636242,636242,a
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",660892,660892,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",689724,689724,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",724030,724030,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",726206,726206,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",752454,752454,a
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",763742,763742,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",775438,775438,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",780538,780538,c
BT_S027_CI,03/23/2024,09/10/2015,m,231914,788800,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",783632,783632,c
BT_S027_CI,03/23/2024,09/10/2015,m,793084,861832,m2,c,811716,811716,c,bs,a,.,yl,v,0,1,gl,h,0,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,793084,861832,m2,c,814606,814606,c,ys,a,.,bs,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,793084,861832,m2,c,819366,819366,d,bs,a,.,yl,v,0,1,gl,h,0,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,793084,861832,m2,c,819400,819400,d,ys,a,.,bs,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,793084,861832,m2,c,826642,826642,c,bl,a,h,yl,v,0,1,gl,h,0,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,793084,861832,m2,c,831946,831946,d,bl,a,h,gl,h,0,-2,yl,v,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,793084,861832,m2,c,842554,842554,c,bl,a,v,gl,h,0,-2,yl,v,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,793084,861832,m2,c,845308,845308,c,ys,a,.,bl,v,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,793084,861832,m2,c,847994,847994,c,gs,a,.,ys,.,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,793084,861832,m2,c,857752,857752,c,bs,a,.,bl,h,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,793084,861832,m2,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",811716,811716,.
BT_S027_CI,03/23/2024,09/10/2015,m,793084,861832,m2,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",826642,826642,.
BT_S027_CI,03/23/2024,09/10/2015,m,793084,861832,m2,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",842554,842554,.
BT_S027_CI,03/23/2024,09/10/2015,m,793084,861832,m2,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",850179,850179,c
BT_S027_CI,03/23/2024,09/10/2015,m,793084,861832,m2,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",859947,859947,a
BT_S027_CI,03/23/2024,09/10/2015,m,793084,861832,m2,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",861168,861168,c
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,915688,915688,c,gl,a,h,yl,v,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,949654,949654,d,gl,a,v,yl,h,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,951252,951252,c,gl,a,h,yl,v,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,954108,954108,c,ys,b,.,yl,h,0,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,958936,958936,c,bl,b,h,yl,h,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,961248,961248,d,bl,b,h,yl,h,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,962710,962710,c,bl,b,h,yl,h,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,963458,963458,d,ys,b,.,yl,h,0,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,964580,964580,c,ys,b,.,yl,h,1,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,969544,969544,d,ys,b,.,yl,v,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,972162,972162,d,bl,b,h,yl,h,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,978622,978622,c,bl,h,h,yl,h,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,987054,987054,c,ys,b,.,yl,v,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,995180,995180,c,gs,b,.,yl,h,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,1002932,1002932,c,bs,b,.,yl,h,1,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,1019830,1019830,d,gl,a,v,yl,h,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,1021904,1021904,d,yl,a,h,ys,.,-1,2,bl,h,-1,-1,gs,.,1,0,rs,.,1,-2,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,1036966,1036966,c,yl,a,h,bl,h,-1,1,ys,.,-1,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S027_CI,03/23/2024,09/10/2015,m,887128,1075726,m3,i,1043630,1043630,c,gl,a,v,yl,h,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
